group,n,pearson_effimg_aeio,spearman_effimg_aeio,pearson_ratio_swapsame,spearman_ratio_swapsame,pearson_ratio_aeit,spearman_ratio_aeit,placement
all,95,-0.2442121967915101,-0.309044716165997,0.020180655625599717,0.02048309467018402,0.013646349452322083,0.0904255319148936,llm_attn
visual,35,-0.09962989733050129,-0.22100840336134453,-0.24808680689460053,-0.25077379405269784,-0.010706568647127894,-0.029131652661064426,llm_attn
non_visual,60,-0.36169548210828284,-0.43110394859510914,0.22384575219398695,0.21172279091842663,0.04062186987406855,0.12509030286190606,llm_attn
all,95,-0.2313536529400704,-0.30645511237531353,0.13548930153187258,0.11338132148977619,-0.0014411463621410879,0.08782194848824186,llm_mlp
visual,35,-0.06117121221439426,-0.19831932773109243,0.0204252154153399,-0.03124100120290681,-0.005988303212129379,-0.027170868347338936,llm_mlp
non_visual,60,-0.36050584206798286,-0.4395509740783778,0.2075995035546971,0.22331838510378535,0.01991614776437159,0.12053348152264516,llm_mlp
all,95,-0.1978531549521792,-0.2708165650721779,-0.08929789761382508,-0.08509629008183969,-0.041641935252831476,0.06236002239641656,projector
visual,35,-0.037827415942357126,-0.1627450980392157,-0.06668970707644659,-0.07126107768657637,-0.02535985939935276,-0.030252100840336135,projector
non_visual,60,-0.32058363688148206,-0.3978437857547388,-0.11125922471450975,-0.11604767455049354,-0.02127381145099185,0.09491525423728811,projector
all,95,-0.26854120724904423,-0.3484136927135496,-0.0655485389343887,-0.060259288942260895,-0.04141070210555124,0.06259798432250839,all
visual,35,-0.0944779855132489,-0.22492997198879552,-0.2721972190447163,-0.18471548891983705,-0.013687298350442145,-0.02857142857142857,all
non_visual,60,-0.3864745158264442,-0.4650587681364062,0.05959346207435836,-0.0033968441267538227,-0.03218698171802565,0.09502639622117252,all
